country,iso3,year,tech,tariff_faced_simple_mean,n_destinations,hs_codes_used,weighting,source,notes
China,CHN,2003,solar_pv,1.192,38,854140,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2003,wind,4.404,38,850231,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2003,batteries,7.768,38,850780,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2003,evs,24.745,38,870390,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2004,solar_pv,1.047,39,854140,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2004,wind,3.783,39,850231,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2004,batteries,7.029,39,850780,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2004,evs,23.146,39,870390,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2005,solar_pv,0.691,39,854140,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2005,wind,3.335,39,850231,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2005,batteries,6.09,39,850780,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2005,evs,21.849,39,870390,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2006,solar_pv,0.662,38,854140,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2006,wind,3.08,38,850231,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2006,batteries,5.82,38,850780,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2006,evs,21.089,38,870390,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2007,solar_pv,0.382,39,854140,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2007,wind,2.961,38,850231,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2007,batteries,5.809,38,850780,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2007,evs,20.115,38,870390,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2008,solar_pv,0.316,39,854140,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2008,wind,2.385,39,850231,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2008,batteries,5.293,39,850780,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2008,evs,18.361,39,870390,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2009,solar_pv,0.38,39,854140,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2009,wind,2.462,39,850231,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2009,batteries,5.148,39,850780,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2009,evs,18.173,39,870390,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2010,solar_pv,0.38,39,854140,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2010,wind,2.821,39,850231,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2010,batteries,4.96,39,850780,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
China,CHN,2010,evs,17.693,39,870390,unweighted (v1 baseline),Derived from WITS destination MFN panel,Replace with bilateral-export-weighted mean once BACI is wired in
