reporter_country,reporter_iso3,year,tech,hs_codes_used,tariff_mfn_simple_avg,n_hs_lines_underlying,nomen_code,datatype,source
China,CHN,2003,solar_pv,854140,0.0,1,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2003,wind,850231,8.0,1,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2003,batteries,850780,12.0,3,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2003,evs,870390,43.0,1,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2004,solar_pv,854140,0.0,1,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2004,wind,850231,8.0,1,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2004,batteries,850780,12.0,3,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2004,evs,870390,37.6,1,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2005,solar_pv,854140,0.0,1,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2005,wind,850231,8.0,1,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2005,batteries,850780,12.0,4,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2005,evs,870390,30.0,9,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2006,solar_pv,854140,0.0,1,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2006,wind,850231,5.0,1,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2006,batteries,850780,11.0,3,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2006,evs,870390,28.0,1,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2007,solar_pv,854140,0.0,1,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2007,wind,850231,8.0,1,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2007,batteries,850780,12.0,3,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2007,evs,870390,25.0,1,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2008,solar_pv,854140,0.0,1,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2008,wind,850231,5.0,1,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2008,batteries,850780,12.0,3,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2008,evs,870390,25.0,1,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2009,solar_pv,854140,0.0,3,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2009,wind,850231,5.0,1,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2009,batteries,850780,12.0,3,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2009,evs,870390,25.0,1,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2010,solar_pv,854140,0.0,3,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2010,wind,850231,8.0,1,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2010,batteries,850780,12.0,3,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
