country,iso3,year,tech,capacity_gw,source,notes
Argentina,ARG,2003,onshore_wind,0.0001,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2003,solar_pv,0.0003,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2003,wind,0.0001,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Argentina,ARG,2004,onshore_wind,0.0001,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2004,solar_pv,0.0003,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2004,wind,0.0001,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Argentina,ARG,2005,onshore_wind,0.0001,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2005,solar_pv,0.0002,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2005,wind,0.0001,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Argentina,ARG,2006,onshore_wind,0.0001,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2006,solar_pv,0.0001,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2006,wind,0.0001,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Argentina,ARG,2007,onshore_wind,0.0001,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2007,solar_pv,0.0001,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2007,wind,0.0001,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Argentina,ARG,2008,onshore_wind,0.0001,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2008,solar_pv,0.0001,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2008,wind,0.0001,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Argentina,ARG,2009,onshore_wind,0.0009,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2009,solar_pv,0.0027,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
